Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Epimap_v3_Cancer_VCaP	5.899758785025778e-07	8.374096030846291e-08	9.256537759535336e-13
Epimap_v3_Cancer_C4_2B	8.899026155140286e-07	1.6691651026507743e-07	4.872291888211324e-08
Epimap_v3_Cancer_T47D	3.6169556538152584e-07	7.083874684748202e-08	1.6461178889138144e-07
Epimap_v3_Cancer_LNCaP_clone_FGC_treated_with_1_nM_17b_hydroxy_17_methylestra_4_9_11_trien_3_one_for_12_hours	2.5410416126847634e-07	5.0562989568619425e-08	2.510649788924871e-07
Epimap_v3_Digestive_colonic_mucosa_female_adult__56_years_	3.857333384152603e-07	7.99826737122235e-08	7.080996489623255e-07
Epimap_v3_Cancer_22Rv1	6.704170074634327e-07	1.4579572282088736e-07	2.1294438237680384e-06
Epimap_v3_Digestive_duodenal_mucosa_male_adult__59_years_	2.9191144599260125e-07	6.376843180944732e-08	2.350810993275892e-06
Epimap_v3_Cancer_MCF_7	2.685619849627167e-07	5.8689686495555955e-08	2.3701424884420846e-06
Epimap_v3_Cancer_22Rv1_treated_with_10_nM_17b_hydroxy_5a_androstan_3_one_for_4_hours	6.400258998382137e-07	1.3989142500704787e-07	2.3792607554020906e-06
Epimap_v3_Cancer_Caco_2	5.42496387574881e-07	1.2708516976036854e-07	9.82802758298755e-06
Epimap_v3_Bone_arm_bone_male_embryo__81_day_	3.6168748103231e-07	8.740680830547967e-08	1.7518970617942818e-05
Epimap_v3_Digestive_large_intestine_female_embryo__110_days_	3.681199283445116e-07	8.985633860406745e-08	2.094856852118112e-05
Epimap_v3_Cancer_HT_29	4.2005942153678795e-07	1.0291130578073925e-07	2.234781065499929e-05
Epimap_v3_Digestive_large_intestine_female_embryo__98_days_	3.885866147635878e-07	9.604743363547332e-08	2.6074794266506987e-05
Epimap_v3_Cancer_T47D_treated_with_10_nM_17b_estradiol_for_30_minutes	2.351661796778427e-07	5.820382835550414e-08	2.6681168027710585e-05
Epimap_v3_Digestive_large_intestine_male_embryo__113_days_	3.533725241063454e-07	8.811537583552287e-08	3.0315822179252225e-05
Epimap_v3_Digestive_large_intestine_female_embryo__107_days_	3.9325170108277363e-07	9.828932483757069e-08	3.15429515422701e-05
Epimap_v3_Digestive_large_intestine_male_embryo__108_days_	2.107475173379651e-07	5.269385571151485e-08	3.174219049577091e-05
Epimap_v3_Digestive_large_intestine_male_embryo__105_days_	3.5473615437856865e-07	8.88293779127206e-08	3.255867282503254e-05
Epimap_v3_Digestive_duodenal_mucosa_male_adult__76_years_	2.856751832033026e-07	7.212225051852286e-08	3.73205444264124e-05
Epimap_v3_Digestive_large_intestine_female_embryo__108_days_	3.765526369376666e-07	9.648215175760381e-08	4.753886878870192e-05
Epimap_v3_Cancer_LNCaP_clone_FGC	4.317395494067483e-07	1.1232838500362372e-07	6.063411191472718e-05
Epimap_v3_Cancer_MCF_7_treated_with_100_nM_estradiol_for_1_hour	2.284694073997988e-07	5.9544403839678676e-08	6.228375225003338e-05
Epimap_v3_Digestive_large_intestine_female_embryo__120_days_	3.817110350483518e-07	1.0016512380009135e-07	6.92539180084829e-05
Epimap_v3_Digestive_large_intestine_female_embryo__105_days_	4.196552333328516e-07	1.101749876675786e-07	6.9768294270242e-05
