Name	Coefficient	Coefficient_std_error	Coefficient_P_value	Zscore	TRAIT
astrocyte.ENCODE	-2.49033993492719e-07	2.34957702183638e-07	0.855407203246536	-1.05990989517798	PASS.Cancer_Prostate.Schumacher2018
B_cell.ENCODE	3.66559071621215e-07	2.24975699045419e-07	0.0516218639609434	1.62932740369978	PASS.Cancer_Prostate.Schumacher2018
bipolar_neuron_from_iPSC.ENCODE	-2.11628249790667e-07	1.74865207256574e-07	0.886905914738677	-1.210236462192	PASS.Cancer_Prostate.Schumacher2018
cardiac_muscle_cell.ENCODE	7.85239504497072e-08	2.75152577232311e-07	0.387675250297739	0.2853832998388	PASS.Cancer_Prostate.Schumacher2018
CD14.positive_monocyte.ENCODE	6.53728351581697e-08	2.66422551280516e-07	0.403083911678027	0.245372754085441	PASS.Cancer_Prostate.Schumacher2018
CD14.positive_monocyte.Novakovic2016	-1.15033402886433e-07	3.48209815523968e-07	0.629434726209001	-0.330356577436901	PASS.Cancer_Prostate.Schumacher2018
CD14.positive_monocytes.Roadmap	1.05829684066284e-07	2.95622834437603e-07	0.360175821877924	0.357988868713799	PASS.Cancer_Prostate.Schumacher2018
CD14.positive_monocyte_treated_with_BG_1h.Novakovic2016	1.20517926065105e-07	3.53862930677617e-07	0.366710650220013	0.340577991128723	PASS.Cancer_Prostate.Schumacher2018
CD14.positive_monocyte_treated_with_BG_4h.Novakovic2016	-5.79549377109267e-08	3.24584526709025e-07	0.570854919301869	-0.178551141357643	PASS.Cancer_Prostate.Schumacher2018
CD14.positive_monocyte_treated_with_BG_d1.Novakovic2016	-5.64591182764898e-07	3.16772918145298e-07	0.962651590749024	-1.78232150043183	PASS.Cancer_Prostate.Schumacher2018
CD14.positive_monocyte_treated_with_BG_d6.Novakovic2016	-3.88977895221808e-07	3.26018136628295e-07	0.883588291258179	-1.19311734998748	PASS.Cancer_Prostate.Schumacher2018
CD14.positive_monocyte_treated_with_LPS_1h.Novakovic2016	-6.1546201202406e-08	3.11885786912437e-07	0.578217579399381	-0.197335703597437	PASS.Cancer_Prostate.Schumacher2018
